                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.61316,                0.91272,                 1.3093,                 1.1547,                 0.8099,                  0.798,                0.93747,                0.77739,                 0.8099,                  0.798,                0.94124,                0.77128,                 0.6472,                 1.3689,                 2.0337,                 1.2848,             0.00064671,             0.00064671,             0.00064671
                     25,                0.54786,                0.84501,                 1.2351,                 1.0529,                 0.9212,                0.76948,                0.93941,                0.77749,                 0.9212,                0.76948,                0.93581,                0.72058,                0.67516,                 1.8874,                 2.0455,                  1.305,             0.00064944,             0.00064944,             0.00064944
                     26,                0.61811,                 1.0075,                 1.2716,                 1.0771,                0.89084,                0.74953,                0.93467,                0.77252,                0.89084,                0.74953,                0.92529,                0.74404,                0.69106,                  1.676,                 2.0514,                  1.325,             0.00063125,             0.00063125,             0.00063125
                     27,                0.50292,                0.93505,                 1.2441,                 1.0107,                0.90368,                0.74944,                0.94513,                0.76966,                0.90368,                0.74944,                0.94276,                0.79463,                0.65399,                 1.1387,                 2.0156,                 1.2799,             0.00063125,             0.00063125,             0.00063125
                     28,                0.56361,                 0.8097,                 1.1989,                 1.0139,                0.85595,                 0.7511,                0.94079,                0.76878,                0.85595,                 0.7511,                0.93914,                0.80458,                0.64234,                 0.9049,                 2.0736,                 1.2829,              0.0006065,              0.0006065,              0.0006065
                     29,                0.59892,                 1.0025,                 1.2893,                 1.0794,                0.93651,                0.71916,                0.94456,                0.75068,                0.93651,                0.71916,                0.94456,                0.83342,                0.69032,                0.80213,                 2.0904,                 1.3751,             0.00058175,             0.00058175,             0.00058175
                     30,                0.64696,                0.97815,                 1.2623,                 1.0878,                0.85834,                0.80866,                0.94269,                0.68535,                0.85834,                0.80866,                0.94759,                0.82728,                 0.9061,                 0.7699,                 2.1328,                 1.7345,               0.000557,               0.000557,               0.000557
                     31,                0.56384,                0.85808,                 1.1012,                 1.0311,                 0.7543,                0.78514,                0.90424,                0.65521,                0.77662,                0.80112,                0.93513,                0.81513,                 1.0005,                0.78902,                 2.1531,                   1.85,             0.00053225,             0.00053225,             0.00053225
                     32,                0.57321,                0.91372,                 1.1113,                 1.0503,                0.81321,                0.79194,                 0.9564,                0.73587,                0.83771,                0.80035,                0.97072,                0.82264,                0.75279,                0.91449,                 2.0458,                  1.376,              0.0005075,              0.0005075,              0.0005075
                     33,                0.61128,                 1.0088,                 1.2104,                 1.0868,                0.81462,                0.85098,                0.96694,                 0.8141,                0.81462,                0.85098,                0.96694,                0.76836,                0.57322,                  1.176,                 1.8446,                 1.1569,             0.00048275,             0.00048275,             0.00048275
